Id,Area(total),Trooms,Nbedrooms,Nbwashrooms,Twashrooms,roof,Roof(Area),Lawn(Area),Nfloors,API,ANB,Expected price,Grade
49,320,6,5,5,7,NO,0,91,2,69,2,2980,D
50,314,5,3,2,3,NO,0,74,1,53,5,3052,E
51,338,9,7,6,7,NO,0,85,6,41,1,4499,B
52,312,7,5,4,6,YES,117,120,3,53,4,3680,C
53,328,6,4,3,5,NO,0,76,3,74,5,3901,D
54,351,9,7,6,8,YES,93,110,7,54,5,4165,A
55,342,5,4,3,4,NO,0,70,3,82,5,3663,D
56,303,8,7,6,7,NO,0,95,5,44,2,4201,C
57,335,9,7,6,8,YES,111,95,7,60,2,4870,A
58,359,6,5,4,6,YES,117,88,4,86,5,3239,C
59,313,5,3,3,5,NO,0,117,1,97,6,3538,D
60,334,5,3,2,3,NO,0,106,2,65,2,2792,D
61,314,6,4,3,5,YES,74,109,4,81,3,3802,D
62,308,5,3,3,4,YES,82,112,3,49,3,2733,D
63,309,7,5,4,5,NO,0,111,3,52,2,3721,D
64,324,8,5,4,5,NO,0,81,4,81,2,4161,C
65,358,5,2,1,2,YES,117,73,1,61,1,3058,D
66,321,7,4,4,5,NO,0,114,4,76,1,3600,D
67,323,5,4,3,4,YES,84,104,3,41,2,3209,D
68,345,5,4,4,6,NO,0,75,3,81,2,3670,D
69,300,6,4,3,5,NO,0,72,4,41,4,3234,D
70,332,5,4,3,4,YES,82,84,1,87,1,3078,D
71,302,6,3,3,5,YES,73,97,4,89,4,3460,D
72,351,9,6,6,8,NO,0,77,5,95,3,4219,B
73,348,8,6,6,7,NO,0,120,6,45,5,3895,B
74,317,7,4,3,5,NO,0,103,4,89,6,3350,D
75,298,9,8,7,8,YES,102,88,7,76,2,4463,A
76,354,9,6,5,6,NO,0,107,6,87,2,5126,B
77,322,7,6,6,7,YES,87,70,3,45,5,3771,C
78,306,5,3,3,5,YES,102,72,3,91,3,2804,D
79,333,9,8,8,10,NO,0,70,7,53,6,4489,A
80,306,6,5,5,7,YES,74,115,4,56,1,3070,D
81,300,9,8,7,8,YES,102,107,7,55,3,4420,A
82,310,8,5,5,6,NO,0,105,6,42,5,3831,C
83,338,7,6,5,7,NO,0,106,4,72,2,3889,C
84,341,7,6,6,7,YES,113,108,3,60,6,3661,C
85,349,8,6,6,8,YES,108,112,6,77,4,3957,B
86,293,5,3,2,3,NO,0,101,1,65,4,3200,E
87,317,8,5,5,7,NO,0,83,4,87,1,4111,C
88,354,7,4,4,5,NO,0,79,5,58,4,4435,D
89,294,7,5,5,7,NO,0,106,3,77,1,3794,D
90,322,7,5,4,6,NO,0,82,4,70,4,3415,D
91,343,6,5,4,5,YES,107,82,3,93,3,3296,C
92,314,7,6,6,7,YES,81,102,3,69,6,3587,C
93,327,5,4,3,5,NO,0,114,3,86,5,3567,D
94,302,6,3,3,5,NO,0,113,4,73,2,3223,D
95,311,5,3,3,5,NO,0,81,2,42,1,2886,E
96,355,7,4,4,6,YES,110,119,4,75,5,3612,C
97,347,9,8,8,9,YES,109,112,5,96,2,4442,A
98,317,9,7,6,8,NO,0,112,6,43,4,3910,B
99,290,5,4,4,6,YES,89,97,2,94,4,2579,D
100,360,8,5,5,6,YES,118,111,6,96,3,4532,B
101,316,9,7,6,7,YES,105,107,6,54,6,4814,B
102,345,5,2,1,2,YES,82,87,1,56,4,3225,D
103,344,9,7,7,9,YES,96,115,6,79,6,4892,A
104,338,5,3,3,4,YES,87,108,2,69,2,3121,D
105,295,7,4,4,6,NO,0,113,3,86,2,3753,D
106,344,8,5,4,5,YES,89,92,5,99,3,4548,B
107,293,6,4,4,6,YES,110,88,2,56,6,3715,D
108,351,7,4,3,5,NO,0,77,3,48,2,4096,D
109,313,6,3,2,4,YES,86,81,3,91,6,3715,D
110,317,9,6,6,8,NO,0,108,7,94,4,3996,B
111,341,6,3,3,5,NO,0,110,3,86,3,3199,D
112,335,6,4,4,5,NO,0,111,4,52,2,3086,D
113,358,6,3,2,3,NO,0,83,3,70,6,3985,D
114,303,7,4,4,5,YES,93,119,5,84,1,3312,C
115,351,8,7,7,9,YES,75,76,5,57,3,4537,B
116,294,5,3,2,4,NO,0,93,2,55,4,3142,E
117,315,8,5,4,6,YES,115,95,6,44,5,4433,C
118,309,8,6,6,8,NO,0,79,4,84,4,3821,C
119,348,7,6,5,7,NO,0,99,5,77,5,4307,C
120,344,6,3,3,4,YES,98,91,2,62,6,3193,D
121,309,8,5,4,6,NO,0,104,4,54,4,4330,D
122,331,7,5,4,6,NO,0,109,5,85,6,3842,C
123,330,7,5,5,7,YES,105,75,5,49,5,3341,C
124,292,5,4,3,4,YES,91,94,3,51,2,2944,D
125,338,5,2,1,3,NO,0,85,3,73,2,3547,D
126,338,5,4,4,6,NO,0,118,2,74,2,2721,D
127,351,9,8,7,8,NO,0,87,6,73,1,4975,A
128,304,8,7,7,9,NO,0,80,4,70,3,3630,B
129,300,5,4,4,6,YES,106,87,3,85,6,2889,D
130,334,7,6,6,7,YES,100,91,5,93,1,3980,B
131,302,5,2,1,3,NO,0,113,1,54,3,2531,E
132,338,5,2,1,2,YES,96,107,2,80,5,2933,D
133,351,8,5,5,6,NO,0,82,4,62,4,4501,C
134,305,6,4,4,5,YES,90,107,4,100,3,3696,D
135,301,7,5,4,5,NO,0,90,3,81,3,3197,D
136,356,9,8,8,10,NO,0,74,5,53,2,4692,A
137,346,6,5,5,7,YES,95,71,4,91,2,3184,C
138,295,8,6,5,7,YES,108,81,4,41,2,4107,C
139,357,6,4,4,5,YES,74,118,3,65,2,3979,C
140,293,5,2,1,2,YES,77,117,3,56,4,3278,D
141,351,6,5,4,6,YES,93,82,2,56,6,3633,C
142,301,6,5,5,7,YES,96,98,2,59,6,3177,D
143,299,5,3,2,4,NO,0,90,2,82,2,3469,E
144,333,9,8,7,8,YES,118,92,6,63,3,4551,A
145,322,6,3,2,4,NO,0,91,4,96,5,3141,D
146,317,8,5,4,6,YES,87,111,4,80,2,3777,C
147,290,9,8,8,9,NO,0,105,5,49,4,3792,A
148,341,5,2,1,3,YES,106,116,2,99,2,2908,D
149,298,5,4,4,6,YES,71,120,2,76,6,3457,D
150,355,8,6,5,6,YES,90,92,6,89,4,3854,B
151,302,7,4,3,5,YES,73,83,3,58,2,3122,D
152,300,5,4,4,5,NO,0,117,3,58,4,3271,D
153,318,9,6,5,6,YES,82,73,7,89,1,3924,B
154,350,6,4,4,5,YES,77,105,4,91,5,3319,C
155,343,8,5,5,7,YES,97,84,4,44,5,3836,C
156,297,8,6,6,7,YES,80,115,4,68,4,3675,C
157,352,9,7,7,8,YES,106,99,6,89,4,4650,A
158,290,5,3,2,4,NO,0,81,3,45,5,2504,E
159,325,5,3,2,3,NO,0,73,1,77,3,2885,D
160,339,5,4,4,5,NO,0,86,3,100,2,3564,D
161,350,8,6,5,6,NO,0,94,4,75,6,4653,C
162,330,9,6,5,7,YES,88,73,7,62,4,4314,B
163,298,6,5,5,6,YES,116,91,2,54,6,3389,D
164,330,5,3,3,5,NO,0,73,2,72,2,3493,D
165,357,9,8,7,9,NO,0,89,5,51,3,5012,A
166,329,9,6,6,8,YES,105,100,7,43,6,4416,A
167,335,6,5,5,6,NO,0,88,3,56,4,3252,D
168,294,9,7,7,8,YES,85,78,5,92,5,4482,B
169,304,6,3,2,4,NO,0,106,4,100,6,3652,D
170,330,5,4,3,5,YES,103,78,2,52,3,3289,D
171,297,6,4,3,5,NO,0,76,2,86,4,3219,D
172,292,5,3,3,5,YES,103,113,2,83,1,3426,D
173,313,7,6,6,8,NO,0,88,5,82,6,3614,C
174,327,5,4,4,6,NO,0,102,2,55,3,3363,D
175,313,9,8,7,9,YES,112,88,6,68,6,4541,A
176,306,5,3,3,5,NO,0,105,2,90,5,3119,D
177,318,8,5,5,7,YES,100,81,6,62,2,4106,C
178,306,8,7,7,9,YES,80,77,5,82,5,3556,B
179,316,7,4,3,5,YES,117,80,4,43,5,3825,D
180,297,9,8,8,10,NO,0,113,7,46,6,4473,A
181,354,6,3,3,5,NO,0,109,2,72,3,4117,D
182,308,8,5,5,7,YES,117,78,6,94,4,4027,B
183,294,5,4,3,4,YES,116,114,1,80,4,2767,D
184,360,8,7,6,8,YES,79,86,4,93,3,4420,B
185,303,9,6,6,7,YES,83,120,7,77,1,3919,B
186,295,7,4,3,5,YES,103,73,5,91,1,3379,D
187,294,5,2,2,3,NO,0,103,3,68,6,2796,E
188,343,6,3,3,4,NO,0,113,4,80,1,3910,D
189,330,9,7,6,8,NO,0,119,5,83,5,4183,B
190,334,8,6,6,7,NO,0,120,5,83,4,3679,B
191,333,5,2,2,3,NO,0,85,1,83,5,3285,D
192,334,8,7,6,7,YES,79,78,4,90,5,3758,B
193,318,9,8,7,9,NO,0,84,5,62,4,4856,A
194,300,7,5,4,6,NO,0,106,4,61,6,3958,D
195,291,6,4,3,4,NO,0,95,4,70,6,3574,D
196,308,7,4,3,4,YES,79,119,3,87,4,4026,D
197,299,5,2,2,3,YES,82,84,2,45,1,3052,E
198,342,9,7,6,8,YES,102,88,5,41,3,4278,B
199,320,5,4,3,4,NO,0,106,3,83,3,3297,D
200,317,8,7,6,7,YES,104,117,6,79,3,4023,B
201,340,6,3,3,4,YES,97,77,4,86,3,3991,D
202,332,6,5,4,6,YES,88,116,2,79,6,3650,C
203,317,7,5,4,6,NO,0,90,4,78,1,3765,D
204,327,5,3,2,3,YES,112,75,2,41,2,2924,D
205,343,8,6,5,6,NO,0,105,4,92,5,4315,C
206,355,6,5,4,6,NO,0,111,3,84,3,3502,C
207,344,6,5,5,6,NO,0,91,4,60,2,3174,D
208,351,9,7,6,8,YES,76,80,6,90,5,4852,A
209,356,8,7,6,8,NO,0,73,5,52,4,3932,B
210,294,9,6,6,8,YES,76,84,7,83,1,3887,B
211,345,7,4,3,4,YES,117,96,4,48,2,3800,C
212,345,8,7,6,7,NO,0,77,5,94,6,4710,B
213,357,7,4,3,5,NO,0,113,5,65,3,3915,C
214,314,5,3,3,4,NO,0,92,3,94,2,3457,D
215,299,8,7,7,8,NO,0,116,6,73,1,3536,B
216,341,9,7,6,8,NO,0,76,6,97,2,4070,A
217,291,7,4,4,6,NO,0,110,5,78,1,4036,D
218,341,5,2,2,4,NO,0,104,2,43,2,3182,D
219,314,5,2,1,3,NO,0,84,1,92,2,3091,D
220,342,6,5,5,7,NO,0,70,3,40,1,3108,D
221,353,6,4,3,5,NO,0,85,4,91,4,4000,D
222,358,8,5,5,6,YES,86,105,4,94,6,4464,B
223,313,7,6,5,7,YES,119,119,3,92,6,3526,C
224,329,6,3,2,3,YES,119,96,3,53,4,3247,D
225,302,6,4,3,4,YES,96,115,2,81,5,3748,D
226,312,5,4,3,4,YES,97,97,1,66,5,2982,D
227,347,8,6,6,8,YES,111,116,5,88,2,4369,B
228,327,6,4,4,6,YES,108,87,2,40,2,3588,D
229,304,5,3,2,4,YES,83,105,2,61,1,3006,D
230,351,5,4,4,5,YES,110,114,3,91,1,2775,C
231,346,7,4,3,4,YES,73,113,5,92,5,3740,C
232,359,6,3,2,3,YES,77,104,3,83,6,3239,C
233,295,9,6,5,7,YES,72,91,6,99,6,4160,B
234,300,9,7,7,9,YES,98,101,6,69,4,3822,A
235,337,7,4,4,6,YES,113,113,3,83,1,3427,C
236,355,7,4,4,5,NO,0,83,4,80,2,3908,C
237,297,8,7,6,7,YES,90,102,6,55,1,3960,B
238,321,9,8,8,10,YES,104,118,5,57,3,4527,A
239,357,6,4,3,5,YES,102,78,2,97,2,3503,C
240,347,8,7,6,7,YES,97,79,4,57,2,4015,B
241,326,8,5,4,5,YES,120,100,6,56,6,3771,C
242,308,6,3,2,4,NO,0,99,3,42,4,2939,D
243,351,9,8,8,9,YES,81,97,6,90,3,4805,A
244,333,7,6,6,7,NO,0,115,5,90,4,3958,C
245,312,8,6,5,7,YES,114,94,5,61,5,4019,C
246,359,8,7,6,7,YES,101,106,6,61,6,4177,A
247,316,8,5,4,6,YES,78,115,4,93,5,4180,C
248,312,7,5,4,6,YES,77,102,5,65,4,3303,C
249,312,5,4,3,4,YES,111,72,1,44,6,3063,D
250,337,6,3,3,4,YES,98,106,2,94,6,3448,D
251,342,9,6,5,6,NO,0,70,5,86,1,5054,B
252,335,8,6,5,7,NO,0,75,4,69,4,4316,C
253,354,9,6,6,8,NO,0,108,6,87,1,5024,B
254,348,9,8,8,10,YES,94,84,7,96,6,4471,A
255,313,5,4,3,4,YES,120,75,3,87,2,3179,D
256,351,9,7,6,7,NO,0,72,6,73,4,4825,B
257,313,8,7,7,8,NO,0,94,6,77,6,4478,B
258,332,5,4,3,4,YES,105,80,2,52,2,2919,D
259,298,9,8,7,8,NO,0,112,7,79,5,4354,A
260,306,7,5,5,6,NO,0,114,3,74,1,3864,D
261,316,9,6,6,8,YES,100,98,6,83,1,4013,B
262,360,7,4,4,6,NO,0,113,3,93,5,3795,C
263,310,5,3,3,5,NO,0,105,3,76,6,2959,D
264,305,8,6,6,7,YES,100,79,5,72,1,3442,C
265,343,6,3,2,3,YES,106,112,3,92,3,3562,C
266,305,5,3,3,5,NO,0,120,1,82,6,2540,D
267,350,6,5,5,7,NO,0,116,2,70,4,3575,C
268,343,5,2,2,4,YES,113,79,2,62,4,3525,D
269,348,5,2,1,2,NO,0,114,1,97,5,3636,D
270,292,7,4,3,5,NO,0,80,4,67,3,4020,D
271,299,8,6,6,8,NO,0,110,4,81,4,4052,C
272,317,7,4,3,5,NO,0,75,3,90,4,3622,D
273,334,9,8,7,9,NO,0,119,5,66,4,4316,A
274,332,5,2,2,4,NO,0,76,3,82,2,2687,D
275,329,9,8,8,9,YES,97,91,6,92,6,4077,A
276,357,7,6,5,7,YES,120,110,4,51,3,4328,C
277,343,5,4,4,6,NO,0,97,2,95,3,3356,D
278,292,5,3,3,4,YES,84,72,2,54,4,2674,D
279,307,7,5,5,6,NO,0,94,3,83,2,3796,D
280,352,9,7,6,7,YES,77,101,6,73,1,4648,A
281,330,7,5,4,5,NO,0,101,4,82,2,3842,D
282,344,7,5,5,7,YES,116,75,4,85,2,4180,C
283,308,6,4,3,5,NO,0,81,2,91,6,2885,D
284,355,6,4,4,5,NO,0,115,3,57,4,3549,D
285,320,7,4,3,5,YES,88,114,3,59,3,3540,D
286,351,9,6,5,6,YES,84,85,6,98,1,4767,B
287,292,9,6,6,7,NO,0,100,6,100,3,4198,B
288,308,6,4,3,5,YES,88,105,3,49,1,3208,D
289,355,6,5,5,6,YES,113,91,2,51,3,4129,C
290,322,7,5,4,6,NO,0,117,3,77,2,4203,D
291,306,7,4,3,4,NO,0,119,5,74,2,3903,D
292,328,7,5,4,5,NO,0,118,3,56,2,4000,D
293,331,7,5,5,6,NO,0,114,3,44,3,3371,D
294,293,8,6,5,6,NO,0,81,6,87,5,3941,C
295,323,8,5,5,6,NO,0,89,6,72,5,3849,C
296,299,5,4,4,6,NO,0,101,1,55,3,2618,D
297,322,7,6,5,7,YES,84,109,5,49,2,4057,C
298,319,9,7,7,8,YES,100,111,6,64,2,4226,A
299,336,6,3,2,4,YES,89,87,3,45,5,3595,D
300,333,9,6,5,6,NO,0,109,7,58,4,4953,B
301,320,9,7,7,8,YES,70,107,7,79,1,4739,A
302,360,9,8,8,10,YES,100,103,6,93,3,4588,A
303,321,7,4,4,6,YES,93,75,5,86,2,4007,C
304,339,9,8,8,9,NO,0,96,7,70,4,4884,A
305,312,8,7,7,9,NO,0,102,5,88,1,4204,B
306,322,5,3,2,3,YES,89,95,1,41,4,2702,D
307,292,7,6,5,6,YES,83,81,4,83,4,3315,C
308,319,9,7,6,7,YES,113,76,5,54,4,4404,B
309,293,8,5,5,7,YES,106,102,5,41,4,3532,C
310,312,6,5,5,6,NO,0,82,3,46,1,3097,D
311,343,7,5,4,5,NO,0,114,3,82,6,4210,C
312,309,8,7,6,7,YES,79,81,6,55,4,3485,B
313,318,6,3,2,3,NO,0,102,4,89,6,3585,D
314,357,8,5,5,6,NO,0,119,4,77,3,3929,C
315,308,8,5,4,5,YES,72,107,5,43,1,4056,C
316,342,6,3,2,3,NO,0,108,2,71,5,3254,D
317,299,6,3,3,4,YES,83,84,4,78,6,3390,D
318,309,8,6,6,8,NO,0,94,5,96,4,3625,C
319,345,8,7,7,9,YES,80,108,6,41,6,4589,A
320,305,7,4,3,5,NO,0,120,5,47,6,3490,D
321,353,7,4,4,5,YES,71,92,5,43,2,3987,C
322,343,9,6,6,7,YES,115,76,6,56,3,4404,B
323,352,9,6,6,8,NO,0,116,6,63,3,4890,B
324,328,7,6,6,7,YES,86,96,5,58,4,4121,C
325,306,9,6,6,8,NO,0,76,5,92,1,4174,B
326,333,8,5,4,5,YES,92,114,5,72,2,3947,C
327,323,7,4,4,6,YES,96,106,4,69,4,3303,C
328,327,6,4,3,4,NO,0,110,3,74,6,3898,D
329,347,8,7,7,9,NO,0,75,4,95,2,4497,B
330,339,7,6,6,8,YES,116,93,4,65,6,4072,B
331,311,5,4,4,6,YES,117,92,3,63,1,2663,D
332,327,6,4,3,5,YES,109,106,2,91,1,3003,D
333,303,9,8,7,9,NO,0,106,6,71,2,4344,A
334,353,5,2,2,4,NO,0,75,2,83,5,3474,D
335,357,8,5,5,7,NO,0,73,5,61,6,4673,C
336,295,8,5,4,5,NO,0,72,4,41,4,4328,D
337,309,6,5,4,5,NO,0,111,4,90,2,3105,D
338,311,5,2,1,3,NO,0,84,3,100,1,2969,D
339,357,8,7,7,8,YES,79,90,6,85,6,4809,A
340,338,5,2,2,4,NO,0,95,3,87,4,3229,D
341,328,7,4,3,4,NO,0,103,5,89,1,3389,D
342,349,6,3,2,4,NO,0,110,2,44,3,3970,D
343,333,7,4,3,4,YES,105,87,4,72,2,3380,C
344,317,9,7,6,8,NO,0,117,7,74,2,4697,A
345,323,6,5,5,6,NO,0,98,3,66,1,2946,D
346,320,7,6,6,8,NO,0,86,4,78,5,4032,C
347,346,5,3,3,5,YES,119,77,3,88,4,3145,D
348,341,9,6,5,7,YES,113,85,5,77,1,4169,B
349,303,5,4,3,5,YES,84,92,3,90,1,3079,D
350,291,6,3,2,4,YES,94,115,3,90,2,3074,D
351,356,7,4,4,6,NO,0,106,5,93,2,4076,C
352,356,9,8,8,10,YES,105,78,5,86,2,4658,A
353,293,6,5,4,6,YES,89,72,4,68,4,2902,D
354,360,6,4,3,5,YES,87,75,4,65,4,3700,D
355,303,8,5,5,7,NO,0,92,5,81,4,3889,C
356,356,5,3,2,3,YES,82,116,1,45,1,3744,D
357,316,8,5,5,6,NO,0,73,5,85,1,3759,C
358,353,9,7,7,8,NO,0,108,5,65,5,4299,A
359,327,6,5,5,7,YES,106,74,3,54,4,3322,D
360,300,6,3,2,3,YES,77,75,4,96,5,3251,D
361,318,7,6,5,7,YES,101,77,4,47,3,4075,C
362,330,5,3,2,3,YES,82,114,3,62,2,3283,D
363,357,6,3,3,5,NO,0,106,4,57,2,3347,D
364,349,6,3,2,3,NO,0,92,3,83,4,3712,D
365,325,9,8,7,8,NO,0,74,6,40,2,4222,B
366,338,5,3,2,3,YES,91,94,2,65,2,3523,D
367,335,8,5,4,5,YES,74,74,4,43,5,4226,C
368,332,8,5,4,6,NO,0,108,5,75,1,3730,C
369,337,6,4,4,6,NO,0,96,4,89,3,4001,D
370,335,7,4,4,5,YES,95,77,3,64,4,4039,C
371,292,5,4,3,4,YES,112,85,1,76,1,2528,D
372,351,9,6,5,7,YES,91,99,6,52,2,4842,B
373,331,9,6,5,7,NO,0,81,7,88,4,4923,B
374,351,9,6,5,6,YES,117,93,6,81,2,4656,A
375,335,5,4,3,4,NO,0,74,3,55,2,3111,D
376,320,5,2,2,4,YES,111,91,1,67,3,2919,D
377,295,6,3,2,3,NO,0,112,2,53,6,3732,D
378,351,6,4,3,4,YES,78,71,4,91,6,3538,C
379,296,8,7,7,9,NO,0,102,6,77,3,4242,B
380,326,6,5,5,6,NO,0,96,2,41,5,3785,D
381,344,5,3,3,4,YES,117,103,3,95,6,3075,D
382,320,6,5,5,7,YES,82,111,2,53,6,3391,D
383,324,8,7,6,8,YES,101,103,5,60,5,3601,B
384,341,5,3,3,5,YES,81,102,2,95,1,3530,D
385,325,8,5,4,6,YES,102,117,4,72,6,4499,C
386,319,7,4,4,6,YES,71,101,3,45,1,3243,D
387,311,6,3,2,3,YES,120,84,3,72,2,3114,D
388,336,7,5,4,5,YES,104,112,4,62,1,3993,C
389,316,8,5,5,6,YES,101,115,5,97,1,3987,B
390,319,5,3,2,3,YES,97,120,2,95,2,3506,D
391,318,5,3,3,5,YES,86,70,1,50,4,3322,D
392,322,7,6,6,8,NO,0,116,5,42,6,3652,C
393,336,7,6,6,8,YES,91,84,4,82,5,3560,C
394,308,8,6,6,8,YES,95,102,6,69,1,3678,B
395,347,6,5,4,6,YES,79,118,4,89,4,3775,C
396,307,7,6,6,8,YES,91,71,4,53,5,3789,C
397,330,5,4,4,5,NO,0,70,2,56,5,2674,D
398,343,5,2,1,2,NO,0,117,1,75,3,2898,D
399,345,6,5,4,5,NO,0,116,3,58,2,3716,D
400,328,9,7,6,7,NO,0,114,6,71,1,4110,B
401,304,7,4,3,5,NO,0,105,5,91,5,3831,D
402,325,9,7,6,7,YES,89,80,5,54,3,4456,B
403,309,6,3,2,4,YES,102,108,3,69,4,3619,D
404,354,8,5,4,5,YES,113,119,6,84,5,4747,B
405,343,6,4,3,4,YES,82,100,4,41,3,3095,D
406,343,9,6,5,6,YES,77,111,6,63,2,4667,B
407,340,7,4,3,5,YES,119,72,5,40,5,3721,C
408,304,7,6,5,6,YES,89,100,3,65,4,3445,C
409,297,9,6,6,8,YES,75,94,5,68,5,4632,B
410,306,6,3,2,4,YES,84,108,2,75,2,3327,D
411,346,9,7,7,8,YES,103,95,5,72,4,4332,A
412,291,9,7,7,8,NO,0,113,5,77,5,3779,B
413,327,9,6,6,8,NO,0,110,7,75,5,4894,B
414,360,6,3,2,4,YES,90,113,4,68,1,3856,C
415,308,7,4,4,5,NO,0,87,4,81,4,3635,D
416,353,6,5,5,6,NO,0,94,3,68,1,3513,D
417,299,8,5,5,7,NO,0,85,4,57,1,3563,D
418,336,5,2,2,3,YES,118,72,2,40,2,3355,D
419,352,9,8,8,10,YES,115,114,6,59,1,4866,A
420,351,9,6,5,7,YES,77,117,7,86,4,4547,A
421,339,9,8,8,9,YES,89,100,5,53,6,4748,A
422,302,6,5,4,5,YES,111,117,4,48,5,3490,D
423,315,6,4,3,5,NO,0,73,2,47,2,3549,D
424,299,5,2,1,2,NO,0,79,1,95,5,3040,E
425,321,5,3,2,3,NO,0,70,3,44,6,3050,E
426,337,9,6,6,7,YES,84,83,5,51,5,5006,B
427,299,9,7,7,9,YES,89,118,7,76,1,4419,A
428,299,8,6,6,8,YES,76,74,4,56,4,3565,C
429,346,8,6,6,8,YES,100,114,5,81,1,4195,B
430,329,6,5,4,5,YES,90,98,2,49,2,3891,D
431,307,8,6,6,7,YES,76,82,4,50,3,3850,C
432,322,6,4,3,5,NO,0,104,4,95,1,3126,D
433,323,9,8,8,10,NO,0,118,6,82,5,4774,A
434,360,9,8,7,8,NO,0,98,5,74,2,4571,A
435,316,6,4,3,5,NO,0,78,4,47,4,3044,D
436,346,5,4,3,5,YES,72,119,1,58,6,3693,D
437,322,8,5,5,7,NO,0,91,5,79,4,3579,C
438,301,7,6,5,7,NO,0,80,4,47,5,3530,D
439,293,7,5,5,6,YES,114,104,5,75,4,3092,C
440,296,8,7,6,7,YES,73,94,6,57,5,4253,B
441,292,6,4,3,4,NO,0,107,3,100,6,2969,D
442,320,5,4,4,6,YES,74,80,3,62,3,2825,D
443,328,8,7,7,8,NO,0,115,4,87,3,3809,B
444,342,8,5,5,6,NO,0,86,6,100,5,4537,B
445,318,6,4,3,5,NO,0,90,2,41,5,3168,D
446,359,7,5,5,7,YES,115,86,4,88,1,4029,C
447,342,6,5,5,6,NO,0,102,4,41,1,3393,D
448,323,6,3,2,3,YES,102,73,2,47,1,3283,D
449,306,8,5,4,6,YES,87,101,5,73,4,4439,C
450,352,8,5,5,6,NO,0,94,4,66,2,4050,C
451,300,9,6,5,7,NO,0,107,6,90,2,4518,B
452,315,7,6,5,6,YES,90,77,4,57,3,3281,C
453,350,6,4,4,5,YES,100,89,4,56,5,3175,C
454,291,5,4,3,5,NO,0,95,3,73,2,2915,D
455,316,7,6,5,7,NO,0,85,4,58,5,3542,C
456,322,6,4,4,5,YES,101,92,2,49,6,3000,D
457,300,6,5,4,5,NO,0,98,2,85,1,3004,D
458,302,5,2,1,2,YES,109,95,3,41,2,3188,D
459,314,7,4,4,5,NO,0,85,3,83,1,3669,D
460,293,6,4,4,6,YES,115,97,2,78,4,2815,D
461,344,7,6,6,7,YES,98,108,3,97,3,4072,B
